Word,Frequency
javascript,5214
python,5197
java,4510
c#,4346
android,2829
php,2527
html,2523
c++,2462
ios,1767
.net,1741
jquery,1728
css,1655
sql,1316
node.js,1170
reactjs,1068
asp.net,1007
mysql,946
arrays,933
sql-server,807
json,806
swift,804
pandas,801
python-3.x,739
angular,723
linux,699
windows,687
typescript,633
django,633
objective-c,626
ruby-on-rails,613
database,601
spring,595
xml,593
dataframe,518
ruby,514
regex,506
string,487
flutter,487
amazon-web-services,482
postgresql,482
multithreading,475
excel,469
spring-boot,466
laravel,463
angularjs,459
ajax,453
asp.net-mvc,453
azure,448
visual-studio,447
algorithm,436
